Time,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),TLevel,Cum(WTrans),SnowLayer
0.05,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,4.00E-03,8.50E-03,4.00E-03,8.50E-03,-5.20E-02,-6.03E+01,-5.56E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,4.00E-03,1,0.00E+00,0
0.1,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,8.00E-03,1.70E-02,8.00E-03,1.70E-02,-1.04E-01,-6.42E+01,-5.57E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,8.00E-03,2,0.00E+00,0
0.165,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,1.32E-02,2.81E-02,1.32E-02,2.81E-02,-1.72E-01,-6.76E+01,-5.58E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,1.32E-02,3,0.00E+00,0
0.2495,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,2.00E-02,4.24E-02,2.00E-02,4.24E-02,-2.60E-01,-7.12E+01,-5.60E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,2.00E-02,4,0.00E+00,0
0.3593,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,2.87E-02,6.11E-02,2.87E-02,6.11E-02,-3.74E-01,-7.46E+01,-5.62E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,2.87E-02,5,0.00E+00,0
0.5022,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,4.02E-02,8.54E-02,4.02E-02,8.54E-02,-5.23E-01,-7.90E+01,-5.65E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,4.02E-02,6,0.00E+00,0
0.6878,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,5.50E-02,1.17E-01,5.50E-02,1.17E-01,-7.16E-01,-8.34E+01,-5.68E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,5.50E-02,7,0.00E+00,0
0.9291,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,7.43E-02,1.58E-01,7.43E-02,1.58E-01,-9.67E-01,-8.84E+01,-5.73E+01,-5.55E+01,0.00E+00,0.00E+00,1.49E+02,0.00E+00,7.43E-02,8,0.00E+00,0
1.2429,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,9.94E-02,2.11E-01,9.94E-02,2.11E-01,-1.29E+00,-9.39E+01,-5.80E+01,-5.55E+01,0.00E+00,0.00E+00,1.49E+02,0.00E+00,9.94E-02,9,0.00E+00,0
1.6507,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,1.32E-01,2.81E-01,1.32E-01,2.81E-01,-1.72E+00,-1.01E+02,-5.89E+01,-5.55E+01,0.00E+00,0.00E+00,1.48E+02,0.00E+00,1.32E-01,10,0.00E+00,0
