Time,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),TLevel,Cum(WTrans),SnowLayer
0.05,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,4.00E-03,8.50E-03,4.00E-03,8.50E-03,-5.20E-02,-6.03E+01,-5.57E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,4.00E-03,1,0.00E+00,0
0.1,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,8.00E-03,1.70E-02,8.00E-03,1.70E-02,-1.04E-01,-6.43E+01,-5.59E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,8.00E-03,2,0.00E+00,0
0.165,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,1.32E-02,2.81E-02,1.32E-02,2.81E-02,-1.72E-01,-6.77E+01,-5.61E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,1.32E-02,3,0.00E+00,0
0.2495,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,2.00E-02,4.24E-02,2.00E-02,4.24E-02,-2.60E-01,-7.13E+01,-5.64E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,2.00E-02,4,0.00E+00,0
0.3593,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,2.87E-02,6.11E-02,2.87E-02,6.11E-02,-3.74E-01,-7.48E+01,-5.68E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,2.87E-02,5,0.00E+00,0
0.5022,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,4.02E-02,8.54E-02,4.02E-02,8.54E-02,-5.23E-01,-7.92E+01,-5.74E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,4.02E-02,6,0.00E+00,0
0.6878,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,5.50E-02,1.17E-01,5.50E-02,1.17E-01,-7.16E-01,-8.37E+01,-5.82E+01,-5.55E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,5.50E-02,7,0.00E+00,0
0.9291,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,7.43E-02,1.58E-01,7.43E-02,1.58E-01,-9.67E-01,-8.88E+01,-5.92E+01,-5.55E+01,0.00E+00,0.00E+00,1.49E+02,0.00E+00,7.43E-02,8,0.00E+00,0
1.2429,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,9.94E-02,2.11E-01,9.94E-02,2.11E-01,-1.29E+00,-9.46E+01,-6.05E+01,-5.55E+01,0.00E+00,0.00E+00,1.49E+02,0.00E+00,9.94E-02,9,0.00E+00,0
1.6507,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,1.32E-01,2.81E-01,1.32E-01,2.81E-01,-1.72E+00,-1.02E+02,-6.24E+01,-5.55E+01,0.00E+00,0.00E+00,1.48E+02,0.00E+00,1.32E-01,10,0.00E+00,0
2.181,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,1.74E-01,3.71E-01,1.74E-01,3.71E-01,-2.27E+00,-1.11E+02,-6.47E+01,-5.55E+01,0.00E+00,0.00E+00,1.48E+02,0.00E+00,1.74E-01,11,0.00E+00,0
2.8703,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,2.30E-01,4.88E-01,2.30E-01,4.88E-01,-2.99E+00,-1.23E+02,-6.79E+01,-5.55E+01,0.00E+00,0.00E+00,1.47E+02,0.00E+00,2.30E-01,12,0.00E+00,0
3.7663,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,3.01E-01,6.40E-01,3.01E-01,6.40E-01,-3.92E+00,-1.40E+02,-7.19E+01,-5.55E+01,0.00E+00,0.00E+00,1.46E+02,0.00E+00,3.01E-01,13,0.00E+00,0
