Time,cvTop,cvBot,Sum(cvTop),Sum(cvBot),cvCh0,cvCh1,cTop,cRoot,cBot,cvRoot,Sum(cvRoot),Sum(cvNEql),TLevel,cGWL,cRunOff,Sum(cRunOff),"(cv(i),","Sum(cv(i)),","i=1,NObs)",,,,,
0.05,-5.27E-18,0.00E+00,-2.64E-19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E+03,1,0.00E+00,0.00E+00,0.00E+00,-2.18E+03,-1.09E+02,-5.70E-03,-2.85E-04,-6.60E-18,-3.30E-19,0.00E+00,0.00E+00
0.1,7.87E-17,0.00E+00,3.67E-18,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.32E+00,0.00E+00,2.71E-01,1.35E-02,2.68E+03,2,0.00E+00,0.00E+00,0.00E+00,-1.84E+03,-2.01E+02,-4.28E-02,-2.42E-03,-1.67E-16,-8.67E-18,0.00E+00,0.00E+00
0.165,1.46E-15,0.00E+00,9.87E-17,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E+01,0.00E+00,4.97E-01,4.58E-02,4.03E+03,3,0.00E+00,0.00E+00,0.00E+00,-1.49E+03,-2.98E+02,-2.32E-01,-1.75E-02,-9.02E-15,-5.95E-16,-1.19E-28,-7.76E-30
0.2495,8.69E-15,0.00E+00,8.33E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E+01,0.00E+00,7.39E-01,1.08E-01,5.44E+03,4,0.00E+00,0.00E+00,0.00E+00,-1.16E+03,-3.96E+02,-9.57E-01,-9.83E-02,-4.81E-13,-4.12E-14,-6.22E-26,-5.27E-27
0.3593,4.55E-15,0.00E+00,1.33E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E+01,0.00E+00,9.86E-01,2.17E-01,6.82E+03,5,0.00E+00,0.00E+00,0.00E+00,-8.72E+02,-4.92E+02,-3.22E+00,-4.53E-01,-2.07E-11,-2.32E-12,-2.57E-23,-2.83E-24
0.5022,-6.31E-15,0.00E+00,4.32E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.58E+01,0.00E+00,1.22E+00,3.91E-01,8.06E+03,6,0.00E+00,0.00E+00,0.00E+00,-6.41E+02,-5.83E+02,-9.30E+00,-1.78E+00,-7.11E-10,-1.04E-10,-7.96E-21,-1.14E-21
0.6878,-4.60E-15,0.00E+00,-4.22E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.13E+01,0.00E+00,1.44E+00,6.59E-01,9.06E+03,7,0.00E+00,0.00E+00,0.00E+00,-4.73E+02,-6.71E+02,-2.36E+01,-6.16E+00,-1.96E-08,-3.75E-09,-1.86E-18,-3.46E-19
0.9291,-3.00E-15,0.00E+00,-1.15E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.57E+01,0.00E+00,1.63E+00,1.05E+00,9.77E+03,8,0.00E+00,0.00E+00,0.00E+00,-3.61E+02,-7.58E+02,-5.34E+01,-1.90E+01,-4.43E-07,-1.11E-07,-3.33E-16,-8.07E-17
1.2429,-1.68E-15,0.00E+00,-1.67E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.89E+01,0.00E+00,1.79E+00,1.62E+00,1.02E+04,9,0.00E+00,0.00E+00,0.00E+00,-2.86E+02,-8.48E+02,-1.08E+02,-5.30E+01,-8.24E-06,-2.70E-06,-4.61E-14,-1.45E-14
1.6507,6.27E-11,0.00E+00,2.56E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.11E+01,0.00E+00,1.92E+00,2.40E+00,1.04E+04,10,0.00E+00,0.00E+00,0.00E+00,-2.34E+02,-9.43E+02,-1.96E+02,-1.33E+02,-1.25E-04,-5.37E-05,-4.89E-12,-2.01E-12
