Time,cvTop,cvBot,Sum(cvTop),Sum(cvBot),cvCh0,cvCh1,cTop,cRoot,cBot,cvRoot,Sum(cvRoot),Sum(cvNEql),TLevel,cGWL,cRunOff,Sum(cRunOff),"(cv(i),","Sum(cv(i)),","i=1,NObs)",,,,,
0.05,-5.71E-18,0.00E+00,-2.86E-19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E+03,0.00E+00,1.98E+02,9.92E+00,1.44E+03,1,0.00E+00,0.00E+00,0.00E+00,-2.17E+03,-1.09E+02,-5.67E-03,-2.83E-04,-6.51E-18,-3.25E-19,0.00E+00,0.00E+00
0.1,7.73E-17,0.00E+00,3.58E-18,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.70E+02,0.00E+00,1.89E+02,1.93E+01,2.68E+03,2,0.00E+00,0.00E+00,0.00E+00,-1.83E+03,-2.00E+02,-4.23E-02,-2.40E-03,-1.64E-16,-8.52E-18,0.00E+00,0.00E+00
0.165,1.58E-15,0.00E+00,1.06E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.30E+02,0.00E+00,1.80E+02,3.11E+01,4.03E+03,3,0.00E+00,0.00E+00,0.00E+00,-1.49E+03,-2.97E+02,-2.28E-01,-1.72E-02,-8.76E-15,-5.78E-16,-1.16E-28,-7.54E-30
0.2495,1.06E-14,0.00E+00,9.98E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.85E+02,0.00E+00,1.71E+02,4.55E+01,5.44E+03,4,0.00E+00,0.00E+00,0.00E+00,-1.16E+03,-3.95E+02,-9.36E-01,-9.63E-02,-4.61E-13,-3.95E-14,-5.96E-26,-5.05E-27
0.3593,1.34E-14,0.00E+00,2.47E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.39E+02,0.00E+00,1.61E+02,6.32E+01,6.81E+03,5,0.00E+00,0.00E+00,0.00E+00,-8.69E+02,-4.90E+02,-3.13E+00,-4.40E-01,-1.95E-11,-2.18E-12,-2.42E-23,-2.66E-24
0.5022,-2.84E-15,0.00E+00,2.06E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.94E+02,0.00E+00,1.52E+02,8.49E+01,8.05E+03,6,0.00E+00,0.00E+00,0.00E+00,-6.38E+02,-5.81E+02,-8.94E+00,-1.72E+00,-6.56E-10,-9.58E-11,-7.33E-21,-1.05E-21
0.6878,-1.21E-14,0.00E+00,-1.81E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.54E+02,0.00E+00,1.43E+02,1.11E+02,9.04E+03,7,0.00E+00,0.00E+00,0.00E+00,-4.70E+02,-6.69E+02,-2.24E+01,-5.88E+00,-1.77E-08,-3.37E-09,-1.66E-18,-3.10E-19
0.9291,-7.89E-15,0.00E+00,-2.09E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.23E+02,0.00E+00,1.36E+02,1.44E+02,9.74E+03,8,0.00E+00,0.00E+00,0.00E+00,-3.58E+02,-7.55E+02,-5.01E+01,-1.80E+01,-3.86E-07,-9.65E-08,-2.87E-16,-6.96E-17
1.2429,-4.43E-15,0.00E+00,-3.48E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.03E+02,0.00E+00,1.31E+02,1.85E+02,1.01E+04,9,0.00E+00,0.00E+00,0.00E+00,-2.84E+02,-8.44E+02,-1.00E+02,-4.95E+01,-6.91E-06,-2.26E-06,-3.79E-14,-1.20E-14
1.6507,3.98E-13,0.00E+00,1.59E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.93E+02,0.00E+00,1.28E+02,2.38E+02,1.03E+04,10,0.00E+00,0.00E+00,0.00E+00,-2.32E+02,-9.39E+02,-1.80E+02,-1.23E+02,-1.01E-04,-4.33E-05,-3.80E-12,-1.56E-12
2.181,2.04E-10,0.00E+00,1.08E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.93E+02,0.00E+00,1.26E+02,3.04E+02,1.04E+04,11,0.00E+00,0.00E+00,0.00E+00,-1.93E+02,-1.04E+03,-2.88E+02,-2.75E+02,-1.16E-03,-6.60E-04,-2.80E-10,-1.50E-10
2.8703,5.11E-10,0.00E+00,4.60E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.97E+02,0.00E+00,1.25E+02,3.90E+02,1.04E+04,12,0.00E+00,0.00E+00,0.00E+00,-1.55E+02,-1.15E+03,-4.15E+02,-5.62E+02,-1.03E-02,-7.74E-03,-1.42E-08,-9.92E-09
3.7663,-4.46E-10,0.00E+00,6.06E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.04E+02,0.00E+00,1.24E+02,5.01E+02,1.04E+04,13,0.00E+00,0.00E+00,0.00E+00,-1.18E+02,-1.25E+03,-5.48E+02,-1.05E+03,-6.84E-02,-6.90E-02,-4.55E-07,-4.17E-07
4.8285,-5.78E-09,0.00E+00,-6.08E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.15E+02,0.00E+00,1.23E+02,6.31E+02,1.04E+04,14,0.00E+00,0.00E+00,0.00E+00,-8.83E+01,-1.35E+03,-6.62E+02,-1.76E+03,-3.13E-01,-4.01E-01,-7.10E-06,-7.96E-06
