Time,cvTop,cvBot,Sum(cvTop),Sum(cvBot),cvCh0,cvCh1,cTop,cRoot,cBot,cvRoot,Sum(cvRoot),Sum(cvNEql),TLevel,cGWL,cRunOff,Sum(cRunOff),"(cv(i),","Sum(cv(i)),","i=1,NObs)",,,,,
0.05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.35E+02,0.00E+00,9.76E+01,4.88E+00,8.60E+03,1,0.00E+00,0.00E+00,0.00E+00,-1.77E+03,-8.87E+01,-3.69E-05,-1.85E-06,-2.02E-25,-1.01E-26,0.00E+00,0.00E+00
0.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E+02,0.00E+00,7.02E+01,8.39E+00,9.85E+03,2,0.00E+00,0.00E+00,0.00E+00,-1.50E+03,-1.64E+02,-5.08E-04,-2.73E-05,-9.69E-24,-4.95E-25,0.00E+00,0.00E+00
0.165,6.49E-13,0.00E+00,4.22E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,6.61E+01,1.27E+01,1.01E+04,3,0.00E+00,0.00E+00,0.00E+00,-1.31E+03,-2.49E+02,-6.29E-03,-4.36E-04,-4.94E-21,-3.22E-22,0.00E+00,0.00E+00
0.2495,2.28E-12,0.00E+00,2.35E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+02,0.00E+00,6.54E+01,1.82E+01,1.01E+04,4,0.00E+00,0.00E+00,0.00E+00,-1.13E+03,-3.45E+02,-5.57E-02,-5.14E-03,-2.77E-18,-2.34E-19,0.00E+00,0.00E+00
0.3593,-6.48E-13,0.00E+00,1.64E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+02,0.00E+00,6.53E+01,2.54E+01,1.01E+04,5,0.00E+00,0.00E+00,0.00E+00,-9.44E+02,-4.48E+02,-3.58E-01,-4.44E-02,-9.62E-16,-1.06E-16,-8.81E-31,-9.68E-32
0.5022,-1.88E-12,0.00E+00,-1.04E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+02,0.00E+00,6.52E+01,3.47E+01,1.01E+04,6,0.00E+00,0.00E+00,0.00E+00,-7.63E+02,-5.57E+02,-1.75E+00,-2.95E-01,-2.04E-13,-2.92E-14,-6.47E-27,-9.24E-28
0.6878,1.30E-10,0.00E+00,2.40E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+02,0.00E+00,6.52E+01,4.68E+01,1.01E+04,7,0.00E+00,0.00E+00,0.00E+00,-5.97E+02,-6.68E+02,-6.88E+00,-1.57E+00,-2.71E-11,-5.06E-12,-2.19E-23,-4.06E-24
0.9291,2.65E-11,0.00E+00,3.04E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+02,0.00E+00,6.52E+01,6.25E+01,1.01E+04,8,0.00E+00,0.00E+00,0.00E+00,-4.56E+02,-7.78E+02,-2.23E+01,-6.96E+00,-2.35E-09,-5.72E-10,-3.78E-20,-9.13E-21
1.2429,-1.32E-10,0.00E+00,-1.09E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.26E+02,0.00E+00,6.53E+01,8.30E+01,1.02E+04,9,0.00E+00,0.00E+00,0.00E+00,-3.44E+02,-8.86E+02,-6.08E+01,-2.60E+01,-1.35E-07,-4.30E-08,-3.46E-17,-1.09E-17
1.6507,-1.13E-11,0.00E+00,-1.55E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E+02,0.00E+00,6.56E+01,1.10E+02,1.03E+04,10,0.00E+00,0.00E+00,0.00E+00,-2.60E+02,-9.93E+02,-1.37E+02,-8.19E+01,-5.13E-06,-2.13E-06,-1.68E-14,-6.86E-15
2.181,4.19E-09,0.00E+00,2.21E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+02,0.00E+00,6.60E+01,1.45E+02,1.04E+04,11,0.00E+00,0.00E+00,0.00E+00,-2.04E+02,-1.10E+03,-2.50E+02,-2.15E+02,-1.23E-04,-6.73E-05,-4.18E-12,-2.22E-12
